taxonID,scientificName,matchedScientificName,matchedCanonicalForm,rank,matchedRank,matchType,editDistance,score
1,Animalia,Animalia,Animalia,kingdom,kingdom,Exact match,0,0.75
2,Acanthocephala,Acanthocephala,Acanthocephala,phylum,genus,Exact match,0,0.75
14,Annelida,Annelida,Annelida,phylum,phylum,Exact match,0,0.75
39,Arthropoda,Arthropoda,Arthropoda,phylum,phylum,Exact match,0,0.75
176,Brachiopoda,Brachiopoda,Brachiopoda,phylum,phylum,Exact match,0,0.75
183,Cephalorhyncha,Cephalorhyncha,Cephalorhyncha,phylum,genus,Exact match,0,0.75
193,Chaetognatha,Chaetognatha,Chaetognatha,phylum,phylum,Exact match,0,0.75
196,Chordata,Chordata,Chordata,phylum,phylum,Exact match,0,0.75
338,Cnidaria,Cnidaria,Cnidaria,phylum,phylum,Exact match,0,0.75
371,Ctenophora,Ctenophora,Ctenophora,phylum,genus,Exact match,0,0.75
381,Cycliophora,Cycliophora,Cycliophora,phylum,phylum,Exact match,0,0.75
384,Echinodermata,Echinodermata,Echinodermata,phylum,phylum,Exact match,0,0.75
421,Echiura,Echiura,Echiura,phylum,phylum,Exact match,0,0.75
424,Ectoprocta,,,phylum,,,,
431,Entoprocta,,,phylum,,,,
436,Gastrotricha,Gastrotricha,Gastrotricha,phylum,phylum,Exact match,0,0.75
440,Gnathostomulida,Gnathostomulida,Gnathostomulida,phylum,phylum,Exact match,0,0.75
444,Hemichordata,Hemichordata,Hemichordata,phylum,phylum,Exact match,0,0.75
449,Mesozoa,,,phylum,,,,
455,Mollusca,Mollusca,Mollusca,phylum,phylum,Exact match,0,0.75
511,Myxozoa,Myxozoa,Myxozoa,phylum,phylum,Exact match,0,0.75
517,Nematoda,Nematoda,Nematoda,phylum,phylum,Exact match,0,0.75
541,Nemertea,Nemertea,Nemertea,phylum,phylum,Exact match,0,0.75
549,Onychophora,Onychophora,Onychophora,phylum,genus,Exact match,0,0.75
552,Phoronida,Phoronida,Phoronida,phylum,phylum,Exact match,0,0.75
555,Placozoa,Placozoa,Placozoa,phylum,phylum,Exact match,0,0.75
558,Platyhelminthes,Platyhelminthes,Platyhelminthes,phylum,phylum,Exact match,0,0.75
587,Porifera,Porifera,Porifera,phylum,phylum,Exact match,0,0.75
620,Rotifera,Rotifera,Rotifera,phylum,phylum,Exact match,0,0.75
628,Sipuncula,Sipuncula,Sipuncula,phylum,phylum,Exact match,0,0.75
631,Tardigrada,Tardigrada,Tardigrada,phylum,phylum,Exact match,0,0.75
1447,Choanozoa,Choanozoa,Choanozoa,phylum,phylum,Exact match,0,0.75
126323,Bryozoa,Bryozoa,Bryozoa,phylum,phylum,Exact match,0,0.75
128966,Choanoflagellata,,,phylum,,,,
136021,Pogonophora,Pogonophora,Pogonophora,phylum,genus,Exact match,0,0.75
136022,Frenulata,,,class,,,,
136023,Monilifera,,,class,,,,
136024,Vestimentifera,,,class,,,,
1448,Mesomycetozoea,Mesomycetozoea,Mesomycetozoea,class,class,Exact match,0,0.75
1452,Not_assigned_6336,,,class,,,,
147216,Choanoflagellatea,,,class,,,,
147219,Craspedida,,,order,,,,
118262,Codonosigaceae,,,family,,,,
118267,Salpingoecaceae,,,family,,,,
147236,Acanthoecaceae,,,family,,,,
147447,Acanthocorbis,,,genus,,,,
147448,Acanthoeca,,,genus,,,,
147449,Amoenoscapa,,,genus,,,,
147450,Cosmoeca,,,genus,,,,
147451,Crinolina,,,genus,,,,
147452,Crucispina,,,genus,,,,
147453,Diaphanoeca,,,genus,,,,
147454,Diplotheca,Diplotheca,Diplotheca,genus,genus,Exact match,0,0.75
147455,Monocosta,,,genus,,,,
147456,Nannoeca,,,genus,,,,
147457,Parvicorbicula,,,genus,,,,
147458,Platypleura,Platypleura,Platypleura,genus,genus,Exact match,0,0.75
147459,Pleurasiga,,,genus,,,,
147460,Polyfibula,,,genus,,,,
147461,Polyoeca,,,genus,,,,
147462,Saepicula,,,genus,,,,
147463,Saroeca,,,genus,,,,
147464,Savillea,,,genus,,,,
147465,Stephanoeca,,,genus,,,,
147934,"Stephanoeca complexa (Norris) Throndsen, 1974",,,species,,,,
147935,"Stephanoeca diplocostata Ellis, 1930",,,species,,,,
147936,"Stephanoeca elegans (Norris) Throndsen, 1974",,,species,,,,
147937,"Stephanoeca kentii Ellis, 1930",,,species,,,,
149958,"Stephanoeca apheles Thomsen, Buck & Chavez, 1991",,,species,,,,
149959,"Stephanoeca cupula (Leadbeater) Thomsen, 1988",,,species,,,,
149960,"Stephanoeca norrisii Thomsen, 1973",,,species,,,,
149961,"Stephanoeca urnula Thomsen, 1973",,,species,,,,
149956,"Savillea micropora (Norris) Leadbeater, 1975",,,species,,,,
149957,"Savillea parva (Ellis) Loeblich III, 1967",,,species,,,,
149955,"Saroeca attenuata Thomsen, 1979",,,species,,,,
149954,"Saepicula pulchra Leadbeater, 1980",,,species,,,,
149953,"Polyoeca dichotoma (Kent, 1881)",,,species,,,,
147933,"Polyfibula sphyrelata (Thomsen) Manton in Manton & Bremer, 1981",,,species,,,,
147930,"Pleurasiga echinocostata Espeland in Espeland & Throndsen, 1986",,,species,,,,
147931,"Pleurasiga minima Throndsen, 1970",,,species,,,,
147932,"Pleurasiga reynoldsii Throndsen, 1970",,,species,,,,
147929,"Platypleura infundibuliformis (Leadbeater) Thomsen in Thomsen & Boonruang, 1983",Platypleura,Platypleura,species,genus,Genus part match,0,0.75
147927,"Parvicorbicula quadricostata Throndsen, 1970",,,species,,,,
147928,"Parvicorbicula socialis (Meunier) Deflandre, 1960",,,species,,,,
149951,"Parvicorbicula circularis Thomsen, 1976",,,species,,,,
149952,"Parvicorbicula superpositus Booth, 1990",,,species,,,,
149950,"Nannoeca minuta (Leadbeater) Thomsen, 1988",,,species,,,,
149949,"Monocosta fennica Thomsen, 1979",,,species,,,,
