TaxonId,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,cohort,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,section,species,subspecies,variety,form,ScientificNameAuthorship
1,ANIMALIA,,,,,,,,,,,,,,,,,,,,,,,,
2,ANIMALIA,,ACANTHOCEPHALA,,,,,,,,,,,,,,,,,,,,,,
14,ANIMALIA,,ANNELIDA,,,,,,,,,,,,,,,,,,,,,,
39,ANIMALIA,,ARTHROPODA,,,,,,,,,,,,,,,,,,,,,,
176,ANIMALIA,,BRACHIOPODA,,,,,,,,,,,,,,,,,,,,,,
183,ANIMALIA,,CEPHALORHYNCHA,,,,,,,,,,,,,,,,,,,,,,
193,ANIMALIA,,CHAETOGNATHA,,,,,,,,,,,,,,,,,,,,,,
196,ANIMALIA,,CHORDATA,,,,,,,,,,,,,,,,,,,,,,
338,ANIMALIA,,CNIDARIA,,,,,,,,,,,,,,,,,,,,,,
371,ANIMALIA,,CTENOPHORA,,,,,,,,,,,,,,,,,,,,,,
381,ANIMALIA,,CYCLIOPHORA,,,,,,,,,,,,,,,,,,,,,,
384,ANIMALIA,,ECHINODERMATA,,,,,,,,,,,,,,,,,,,,,,
421,ANIMALIA,,ECHIURA,,,,,,,,,,,,,,,,,,,,,,
424,ANIMALIA,,ECTOPROCTA,,,,,,,,,,,,,,,,,,,,,,
431,ANIMALIA,,ENTOPROCTA,,,,,,,,,,,,,,,,,,,,,,
436,ANIMALIA,,GASTROTRICHA,,,,,,,,,,,,,,,,,,,,,,
440,ANIMALIA,,GNATHOSTOMULIDA,,,,,,,,,,,,,,,,,,,,,,
444,ANIMALIA,,HEMICHORDATA,,,,,,,,,,,,,,,,,,,,,,
449,ANIMALIA,,MESOZOA,,,,,,,,,,,,,,,,,,,,,,
455,ANIMALIA,,MOLLUSCA,,,,,,,,,,,,,,,,,,,,,,
511,ANIMALIA,,MYXOZOA,,,,,,,,,,,,,,,,,,,,,,"Grassé, 1970"
517,ANIMALIA,,NEMATODA,,,,,,,,,,,,,,,,,,,,,,
541,ANIMALIA,,NEMERTEA,,,,,,,,,,,,,,,,,,,,,,
549,ANIMALIA,,ONYCHOPHORA,,,,,,,,,,,,,,,,,,,,,,
552,ANIMALIA,,PHORONIDA,,,,,,,,,,,,,,,,,,,,,,
555,ANIMALIA,,PLACOZOA,,,,,,,,,,,,,,,,,,,,,,
558,ANIMALIA,,PLATYHELMINTHES,,,,,,,,,,,,,,,,,,,,,,
587,ANIMALIA,,PORIFERA,,,,,,,,,,,,,,,,,,,,,,
620,ANIMALIA,,ROTIFERA,,,,,,,,,,,,,,,,,,,,,,
628,ANIMALIA,,SIPUNCULA,,,,,,,,,,,,,,,,,,,,,,
631,ANIMALIA,,TARDIGRADA,,,,,,,,,,,,,,,,,,,,,,"Spallanzani, 1777"
1447,ANIMALIA,,CHOANOZOA,,,,,,,,,,,,,,,,,,,,,,
126323,ANIMALIA,,BRYOZOA,,,,,,,,,,,,,,,,,,,,,,
128966,ANIMALIA,,CHOANOFLAGELLATA,,,,,,,,,,,,,,,,,,,,,,
136021,ANIMALIA,,POGONOPHORA,,,,,,,,,,,,,,,,,,,,,,
136022,ANIMALIA,,POGONOPHORA,,,FRENULATA,,,,,,,,,,,,,,,,,,,"Webb, 1969"
136023,ANIMALIA,,POGONOPHORA,,,MONILIFERA,,,,,,,,,,,,,,,,,,,"Ivanov, 1991"
136024,ANIMALIA,,POGONOPHORA,,,VESTIMENTIFERA,,,,,,,,,,,,,,,,,,,"Webb, 1969"
1448,ANIMALIA,,CHOANOZOA,,,MESOMYCETOZOEA,,,,,,,,,,,,,,,,,,,
1452,ANIMALIA,,CHOANOZOA,,,NOT_ASSIGNED_6336,,,,,,,,,,,,,,,,,,,
147216,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,,,,,,,,,,,,,,,,
147219,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,,,,,,,,,,,,
118262,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,CODONOSIGACEAE,,,,,,,,,,,
118267,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,,,,,,,,
147236,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,,,,,,,,
147447,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,ACANTHOCORBIS,,,,,,,S.Hara & E.Takah.
