TaxonId;kingdom;subkingdom;phylum;subphylum;superclass;class;subclass;cohort;superorder;order;suborder;infraorder;superfamily;family;subfamily;tribe;subtribe;genus;subgenus;section;species;subspecies;variety;form;ScientificNameAuthorship
1;Animalia;;;;;;;;;;;;;;;;;;;;;;;;
2;Animalia;;Acanthocephala;;;;;;;;;;;;;;;;;;;;;;
14;Animalia;;Annelida;;;;;;;;;;;;;;;;;;;;;;
39;Animalia;;Arthropoda;;;;;;;;;;;;;;;;;;;;;;
176;Animalia;;Brachiopoda;;;;;;;;;;;;;;;;;;;;;;
183;Animalia;;Cephalorhyncha;;;;;;;;;;;;;;;;;;;;;;
193;Animalia;;Chaetognatha;;;;;;;;;;;;;;;;;;;;;;
196;Animalia;;Chordata;;;;;;;;;;;;;;;;;;;;;;
338;Animalia;;Cnidaria;;;;;;;;;;;;;;;;;;;;;;
371;Animalia;;Ctenophora;;;;;;;;;;;;;;;;;;;;;;
381;Animalia;;Cycliophora;;;;;;;;;;;;;;;;;;;;;;
384;Animalia;;Echinodermata;;;;;;;;;;;;;;;;;;;;;;
421;Animalia;;Echiura;;;;;;;;;;;;;;;;;;;;;;
424;Animalia;;Ectoprocta;;;;;;;;;;;;;;;;;;;;;;
431;Animalia;;Entoprocta;;;;;;;;;;;;;;;;;;;;;;
436;Animalia;;Gastrotricha;;;;;;;;;;;;;;;;;;;;;;
440;Animalia;;Gnathostomulida;;;;;;;;;;;;;;;;;;;;;;
444;Animalia;;Hemichordata;;;;;;;;;;;;;;;;;;;;;;
449;Animalia;;Mesozoa;;;;;;;;;;;;;;;;;;;;;;
455;Animalia;;Mollusca;;;;;;;;;;;;;;;;;;;;;;
511;Animalia;;Myxozoa;;;;;;;;;;;;;;;;;;;;;;Grassé, 1970
517;Animalia;;Nematoda;;;;;;;;;;;;;;;;;;;;;;
541;Animalia;;Nemertea;;;;;;;;;;;;;;;;;;;;;;
549;Animalia;;Onychophora;;;;;;;;;;;;;;;;;;;;;;
552;Animalia;;Phoronida;;;;;;;;;;;;;;;;;;;;;;
555;Animalia;;Placozoa;;;;;;;;;;;;;;;;;;;;;;
558;Animalia;;Platyhelminthes;;;;;;;;;;;;;;;;;;;;;;
587;Animalia;;Porifera;;;;;;;;;;;;;;;;;;;;;;
620;Animalia;;Rotifera;;;;;;;;;;;;;;;;;;;;;;
628;Animalia;;Sipuncula;;;;;;;;;;;;;;;;;;;;;;
631;Animalia;;Tardigrada;;;;;;;;;;;;;;;;;;;;;;Spallanzani, 1777
1447;Animalia;;Choanozoa;;;;;;;;;;;;;;;;;;;;;;
126323;Animalia;;Bryozoa;;;;;;;;;;;;;;;;;;;;;;
128966;Animalia;;Choanoflagellata;;;;;;;;;;;;;;;;;;;;;;
136021;Animalia;;Pogonophora;;;;;;;;;;;;;;;;;;;;;;
136022;Animalia;;Pogonophora;;;Frenulata;;;;;;;;;;;;;;;;;;;Webb, 1969
136023;Animalia;;Pogonophora;;;Monilifera;;;;;;;;;;;;;;;;;;;Ivanov, 1991
136024;Animalia;;Pogonophora;;;Vestimentifera;;;;;;;;;;;;;;;;;;;Webb, 1969
1448;Animalia;;Choanozoa;;;Mesomycetozoea;;;;;;;;;;;;;;;;;;;
1452;Animalia;;Choanozoa;;;Not_assigned_6336;;;;;;;;;;;;;;;;;;;
147216;Animalia;;Choanozoa;;;Choanoflagellatea;;;;;;;;;;;;;;;;;;;
147219;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;;;;;;;;;;;;
118262;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;;;;;;;;
118267;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;;;;;;;;
147236;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;;;;;;;;
147447;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Acanthocorbis;;;;;;;S.Hara & E.Takah.
147448;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Acanthoeca;;;;;;;W.N.Ellis
147449;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Amoenoscapa;;;;;;;
147450;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Cosmoeca;;;;;;;
147451;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Crinolina;;;;;;;H.A.Thomsen
147452;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Crucispina;;;;;;;
