ID,scientificName,count
1,"Abarema limae Iganci & M.P.Lima","       3"
2,"Abarema longipedunculata","       3"
3,"Abarema lovellae","       1"
4,"Abarema lucida","       4"
5,"Abarema maestrensis","       2"
6,"Abarema malinoensis","       1"
7,"Abarema mataybifolia","       5"
8,"Abarema microcalyx","       4"
9,"Abarema mindanaense","       2"
10,"Abarema muellerana","       1"
11,"Abarema multiflora","       1"
12,"Abarema multiflora (Merr.)Kosterm.","       2"
13,"Abarema muricarpa","       2"
14,"Abarema nediana","       3"
15,"Abarema nipensis","       7"
16,"Abarema novo-guineense","       1"
17,"Abarema novo-guineense (Merr. & L.M.Perry)Kosterm.","       5"
18,"Abarema obovalis (A.Rich.)Barneby & J.W.Grimes","       9"
19,"Abarema obovata","       14"
20,"Abarema opposita","       1"
21,"Abarema oppositifolia","       17"
22,"Abarema oppositifolia (Urb.)Barneby & J.W.Grimes","       11"
23,"Abarema pahangensis","       1"
24,"Abarema pauciflora","       1"
25,"Abarema poilanei","       1"
26,"Abarema racemiflora","       1"
27,"Abarema racemosa","       1"
28,"Abarema ricoae Barneby & J.W.Grimes","       1"
29,"Abarema sapindoides (A.Cunn. ex Sweet) Kosterm.","       3"
30,"Abarema scutifera","       1"
31,"Abarema sessiliflora","       1"
32,"Abarema sumbawaensis","       1"
33,"Abarema teijsmannii","       1"
34,"Abarema tjendana","       1"
35,"Abarema trapezifolia (Vahl) Pittier","       2"
36,"Abarema trichophylla","       2"
37,"Abarema triplinervia","       1"
38,"Abarema turbinata","       2"
39,"Abarema turbinata (Bentham) Barneby & J.W.Grimes","       1"
40,"Abarema utile","       2"
41,"Abarema villifera","       2"
42,"Abarema villosa Iganci & M.P.Lima","       2"
43,"Abarema yunnanense sensu Kosterm., p.p.","       1"
44,"Abarema yunnanensis","       7"
45,"Abarenicola","       65"
46,"Abarenicola affinis","       2"
47,"Abarenicola affinis africana Wells, 1963","       2"
48,"Abarenicola assimilis","       4"
49,"Abarenicola claparedi","       3"
50,"Abarenicola claparedi (Levinsen, 1884)","       1"
51,"Abarenicola claparedi vagabunda Healy & Wells, 1959","       9"
52,"Abarenicola claparedii","       6"
53,"Abarenicola clarki Wells, 1963","       1"
54,"Abarenicola gilchristi","       2"
55,"Abarenicola pacifica","       43"
56,"Abarenicola pacifica Healy & Wells, 1959","       3"
57,"Abarenicola vagabunda","       2"
58,"Abareoidius","       2"
59,"Abaria","       19"
60,"Abaria electa","       2"
61,"Abaria electa Marlier, 1960","       1"
62,"Abaria hamul","       66"
63,"Abaria heliantha","       1"
64,"Abaria margaritifera","       5"
65,"Abaria margaritifera Schmid, 1958","       6"
66,"Abaria tripunctata Mosely, 1948","       19"
67,"Abaria triquetra Mey, 1998","       11"
68,"Abaridius","       24"
