Name,Authority,AuthorityKey,*Rank,*GenusNamePart,*SpeciesNamePart,*Epithet,*AuthorPersonIDs,*PublicationID,*Volume,*StartPage,*TitlePageYear ,*NameKind ,*NextHigherTaxonNameID,*BasionymNameID ,
Explanation,The source of the data,Unique record identifier for the source.,Rank name,Genus name part ,Species name part,"Epithet. If below rank of genus, the single name part goes here","Author person IDs, comma separated",Tropicos publication ID,Volume,StartPage,Title page year,Name kind ,Tropicos NameID for NHT,Tropicos NameID for basionym ,
Example,Ferns of Brazil,F1001 ,subspecies,Coronopus,leptocarpus,microcarpus,5861,2646,2,101,1918,Taxon,40015782,,
Argyrolobium bodkinii,ILDIS,5673,species,Argyrolobium,bodkinii,,69,,,,1971,Nom Nov?,40019271,,"Gillett,J.B. et al. 1971 Papilionoideae.In:Fl.Trop.E.Africa,Milne-Redhead & Polhill"
Argyrolobium terme,ILDIS,5658,species,Argyrolobium,terme,,Walp.,NA,2,,1865,Nom Nov?,40019271,,"Harvey,W.H. & Sonder,O,W, 1865 Flora Capensis Vol.2"
Argyrolobium thomii,ILDIS,5660,species,Argyrolobium,thomii,,Harv.,NA,2,,1865,Nom Nov?,40019271,,"Harvey,W.H. & Sonder,O,W, 1865 Flora Capensis Vol.2"
Astragalus aiwadzhii,ILDIS,18864,species,Astragalus,aiwadzhii,,4578,,,,1985,Taxon,40021672,,"Podlech,D. 1985 Bot. Jahrb. Syst. 107: 55-73."
Astragalus alexandrii,ILDIS,25560,species,Astragalus,alexandrii,,Kharadze,,,,1952,Taxon,40021672,,"Grossheim, A.A. 1952 Flora Kavkaza, Vol.5. Moscow,Leningrad. (Rus)"
Astragalus anserinifolius,ILDIS,19246,species,Astragalus,anserinifolius,,Boiss.,,,,,Taxon,40021672,,"Rechinger,K.H. et al. 1961 Sirjaevii fragmenta Astragalogica,XIII-XVII. Sitz.Ost.Akad."
Astragalus chomutowii,ILDIS,25216,species,Astragalus,chomutowii,,4578,,,,,Taxon,40021672,,"Gontscharov, N.F. 1946 In:Flora URSS, Vol.12. Mosqua, Leningrad. (Rus)"
Astragalus dicernendus,ILDIS,24345,species,Astragalus,dicernendus,,Širj. & Rech. f.,,,,,Combination,40021672,,"Deml, I. 1972 Boissiera,21:7-235. Revision der Sektionen Acanthophace..."
