TaxonId	matchedType	inputName	matchedName	matchedCanonicalForm	inputRank	matchedRank	synonymStatus	acceptedName	matchedEditDistance	matchedScore	matchTaxonID
1	Exact string match	Animalia	Animalia	Animalia	kingdom	kingdom		Animalia	0	0.75	33521288
2	Exact string match	Acanthocephala	Acanthocephala	Acanthocephala	phylum	genus		Acanthocephala	0	0.75	33539389
14	Exact string match	Annelida	Annelida	Annelida	phylum	phylum		Annelida	0	0.75	33521477
39	Exact string match	Arthropoda	Arthropoda	Arthropoda	phylum	phylum		Arthropoda	0	0.75	33521342
176	Exact string match	Brachiopoda	Brachiopoda	Brachiopoda	phylum	phylum		Brachiopoda	0	0.75	33527003
183	Exact string match	Cephalorhyncha	Cephalorhyncha	Cephalorhyncha	phylum	genus		Cephalorhyncha	0	0.75	33635966
193	Exact string match	Chaetognatha	Chaetognatha	Chaetognatha	phylum	phylum		Chaetognatha	0	0.75	33522194
196	Exact string match	Chordata	Chordata	Chordata	phylum	phylum		Chordata	0	0.75	33521289
338	Exact string match	Cnidaria	Cnidaria	Cnidaria	phylum	phylum		Cnidaria	0	0.75	33522061
371	Exact string match	Ctenophora	Ctenophora	Ctenophora	phylum	genus		Ctenophora	0	0.75	33594274
381	Exact string match	Cycliophora	Cycliophora	Cycliophora	phylum	phylum		Cycliophora	0	0.75	33521605
384	Exact string match	Echinodermata	Echinodermata	Echinodermata	phylum	phylum		Echinodermata	0	0.75	33521507
421	Exact string match	Echiura	Echiura	Echiura	phylum	phylum		Echiura	0	0.75	33525460
424	Canonical form fuzzy match	Ectoprocta	Entoprocta	Entoprocta	phylum	phylum		Entoprocta	1	0.5	33526192
431	Exact string match	Entoprocta	Entoprocta	Entoprocta	phylum	phylum		Entoprocta	0	0.75	33526192
436	Exact string match	Gastrotricha	Gastrotricha	Gastrotricha	phylum	phylum		Gastrotricha	0	0.75	33524497
440	Exact string match	Gnathostomulida	Gnathostomulida	Gnathostomulida	phylum	phylum		Gnathostomulida	0	0.75	33521327
444	Exact string match	Hemichordata	Hemichordata	Hemichordata	phylum	phylum		Hemichordata	0	0.75	33525467
449	No match	Mesozoa			phylum				
455	Exact string match	Mollusca	Mollusca	Mollusca	phylum	phylum		Mollusca	0	0.75	33521301
511	Exact string match	Myxozoa	Myxozoa	Myxozoa	phylum	phylum		Myxozoa	0	0.75	33526292
517	Exact string match	Nematoda	Nematoda	Nematoda	phylum	phylum		Nematoda	0	0.75	33526516
541	Exact string match	Nemertea	Nemertea	Nemertea	phylum	phylum		Nemertea	0	0.75	33522094
549	Exact string match	Onychophora	Onychophora	Onychophora	phylum	genus		Onychophora	0	0.75	33708758
552	Exact string match	Phoronida	Phoronida	Phoronida	phylum	phylum		Phoronida	0	0.75	33523929
555	Exact string match	Placozoa	Placozoa	Placozoa	phylum	phylum		Placozoa	0	0.75	33532103
558	Exact string match	Platyhelminthes	Platyhelminthes	Platyhelminthes	phylum	phylum		Platyhelminthes	0	0.75	33521309
587	Exact string match	Porifera	Porifera	Porifera	phylum	phylum		Porifera	0	0.75	33527549
620	Exact string match	Rotifera	Rotifera	Rotifera	phylum	phylum		Rotifera	0	0.75	33529232
628	Exact string match	Sipuncula	Sipuncula	Sipuncula	phylum	phylum		Sipuncula	0	0.75	33525478
631	Exact string match	Tardigrada	Tardigrada	Tardigrada	phylum	phylum		Tardigrada	0	0.75	33526859
1447	Exact string match	Choanozoa	Choanozoa	Choanozoa	phylum	phylum		Choanozoa	0	0.75	33523364
126323	Exact string match	Bryozoa	Bryozoa	Bryozoa	phylum	phylum		Bryozoa	0	0.75	33524015
128966	No match	Choanoflagellata			phylum				
136021	Exact string match	Pogonophora	Pogonophora	Pogonophora	phylum	genus		Pogonophora	0	0.75	33686555
136022	No match	Frenulata			class				
136023	No match	Monilifera			class				
136024	No match	Vestimentifera			class				
1448	No match	Mesomycetozoea			class				
1452	Canonical form exact match	Not_assigned_6336	Not assigned	Not assigned	class	class		Not assigned	0	0.988	33521328
147216	No match	Choanoflagellatea			class				
147219	Canonical form fuzzy match	Craspedida	Craspedia	Craspedia	order	genus		Craspedia	1	0.5	33717549
118262	No match	Codonosigaceae			family				
118267	No match	Salpingoecaceae			family				
